"response__status","symbol__id","symbol__symbol","symbol__title","symbol__is_following","symbol__watchlist_count","cursor__more","cursor__since","cursor__max","messages__id","messages__body","messages__created_at","messages__user__id","messages__user__username","messages__user__name","messages__user__avatar_url","messages__user__avatar_url_ssl","messages__user__join_date","messages__user__official","messages__user__identity","messages__user__followers","messages__user__following","messages__user__ideas","messages__user__watchlist_stocks_count","messages__user__like_count","messages__user__plus_tier","messages__user__premium_room","messages__user__trade_app","messages__source__id","messages__source__title","messages__source__url","messages__symbols__id","messages__symbols__symbol","messages__symbols__title","messages__symbols__is_following","messages__symbols__watchlist_count","messages__entities__sentiment__basic","messages__entities__chart__thumb","messages__entities__chart__large","messages__entities__chart__original","messages__entities__chart__url","messages__conversation__parent_message_id","messages__conversation__in_reply_to_message_id","messages__conversation__parent","messages__conversation__replies","messages__likes__total","messages__likes__user_ids__001","messages__entities__sentiment","messages__likes__user_ids__002","messages__links__title","messages__links__url","messages__links__shortened_url","messages__links__shortened_expanded_url","messages__links__description","messages__links__image","messages__links__created_at","messages__links__video_url","messages__links__source__name","messages__links__source__website","messages__likes__user_ids__003","messages__likes__user_ids__004","messages__entities__giphy__id","messages__entities__giphy__ratio","messages__symbols__aliases__-"
"","","","","","","","","","300527898","$TSLA: The EPS is expected to grow by 157.09% on average over the next 2 years. This is a very strong growth. https://www.chartmill.com/stock/quote/TSLA/fundamental-analysis?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=TSLA&amp;utm_campaign=social_tracking","2021-03-07T20:38:00Z","47688","ChartMill","ChartMill","https://avatars.stocktwits.com/production/47688/thumb-1363343728.png","https://avatars.stocktwits.com/production/47688/thumb-1363343728.png","2011-01-26","False","User","26889","887","1240871","20","32","","","False","1135","ChartMill","http://www.chartmill.com","8660","TSLA","Tesla, Inc.","False","629879","","","","","","","","","","1","4514348","null","","null","https://www.chartmill.com/stock/quote/TSLA/fundamental-analysis?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8&utm_source=stocktwits&utm_medium=FA&utm_content=TSLA&utm_campaign=social_tracking","https://www.chartmill.com/stock/quote/TSLA/fundamental-analysis?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8&utm_source=stocktwits&utm_medium=FA&utm_content=TSLA&utm_campaign=social_tracking","chartmill.com/stock/quote/T...","null","null","2021-03-07T20:38:00Z","null","Chartmill","https://www.chartmill.com","","","","",""
"","","","","","","","","","300527498","Jimmy Farley of $f is going to $plug Power PUMMEL Elon of Rare Earths!!!  If the $tsla semitrucks actually worked, then they would already be EVerywhere!!??!!  There not, WHY???  We will make money on the 50kg of GREEN HYDROGEN per semitruck EVery Day!!!  FYI!!! \n \nhttps://finance.yahoo.com/news/elon-musk-trolls-gm-chrysler-221827244.html","2021-03-07T20:35:28Z","3326188","AshHydrogen","Ashley Wolter","https://avatars.stocktwits.com/production/3326188/thumb-1587240234.png","https://avatars.stocktwits.com/production/3326188/thumb-1587240234.png","2020-04-18","False","User","254","21","8535","1","34701","year","","False","2269","StockTwits Web","https://stocktwits.com","3158","PLUG","Plug Power Inc.","False","131636","","","","","","300527498","null","True","1","4","2835299","null","2794766","Elon Musk trolls GM, Chrysler on Twitter. Ford CEO responds with 1 word.","https://finance.yahoo.com/news/elon-musk-trolls-gm-chrysler-221827244.html","https://finance.yahoo.com/news/elon-musk-trolls-gm-chrysler-221827244.html","finance.yahoo.com/news/elon...","Just one word. That's all Ford CEO Jim Farley used to respond to Tesla CEO Elon Musk on Friday. ""Tesla & Ford are the only American carmakers not to have gone bankrupt out of 1000's of car startups. Prototypes are easy, production is hard & being cash flow positive is excruciating,"" Musk tweeted Thursday.","https://s.yimg.com/uu/api/res/1.2/rItbjR5op5AT2SGfz1mHVQ--~B/aD00NjA7dz02OTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/usa_today_money_325/45ee3e6bba329f7154b12c7c9d872203","2021-03-07T20:35:29Z","null","Yahoo","https://finance.yahoo.com","4233667","2005606","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5281","F","Ford Motor Co.","False","120033","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","TSLA","Tesla, Inc.","False","629879","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","300527368","$TSLA major downtrend, probably close at $575  Monday.","2021-03-07T20:34:37Z","792856","jasaveii","jasaveii","https://avatars.stocktwits.com/production/792856/thumb-1613941609.png","https://avatars.stocktwits.com/production/792856/thumb-1613941609.png","2016-07-12","False","User","33","90","2803","139","508","","","False","2095","StockTwits For Android ","http://www.stocktwits.com/mobile","8660","TSLA","Tesla, Inc.","False","629879","Bullish","","","","","300527368","null","True","1","1","4491175","","","","","","","","","","","","","","","","",""
"","","","","","","","","","300527364","$TSLA 🤣😂🤣🚀🚀🚀🚀","2021-03-07T20:34:35Z","4429437","Lill_John","John DSouza","https://avatars.stocktwits.com/production/4429437/thumb-1607969169.png","https://avatars.stocktwits.com/production/4429437/thumb-1607969169.png","2020-12-14","False","User","2","3","570","92","94","","","False","2095","StockTwits For Android ","http://www.stocktwits.com/mobile","8660","TSLA","Tesla, Inc.","False","629879","Bullish","","","","","","","","","1","3315445","","","","","","","","","","","","","","","GRM7Z2s6AougoR3rvv","1.0",""
"","","","","","","","","","300527198","$TSLA \nI FOUND ELON MUSK AT THIS BUS STOP.\nWITH STARSHIP EXPLODING AND TESLA IMPLODING, HE KEPT HIS VISOR DOWN SO NO ONE COULD SEE HIS SPACE TEARS.\n\nTHIS IS GONNA BE ANOTHER TOUGH WEEK FOR HIM, TOO.","2021-03-07T20:33:42Z","4287436","CaptainChaos2021","Captain Chaos","https://avatars.stocktwits.com/production/4287436/thumb-1611959161.png","https://avatars.stocktwits.com/production/4287436/thumb-1611959161.png","2020-11-09","False","User","12","20","1035","6","608","","","False","2269","StockTwits Web","https://stocktwits.com","8660","TSLA","Tesla, Inc.","False","629879","Bearish","https://charts.stocktwits.com/production/small_300527198.png","https://charts.stocktwits.com/production/large_300527198.png","https://charts.stocktwits.com/production/original_300527198.png","https://charts.stocktwits.com/production/original_300527198.png","300527198","null","True","1","2","4491175","","2188671","","","","","","","","","","","","","","",""
"","","","","","","","","","300527160","$TSLA does every movie released in 2021 mention Tesla in it or is it just the movies I’ve watched today (2)","2021-03-07T20:33:30Z","4572906","Bucketbear87","James L","https://avatars.stocktwits.com/production/4572906/thumb-1611871717.png","https://avatars.stocktwits.com/production/4572906/thumb-1611871717.png","2021-01-12","False","User","1","3","198","17","159","","","False","1149","StockTwits for iOS","http://www.stocktwits.com/mobile","8660","TSLA","Tesla, Inc.","False","629879","Bullish","","","","","","","","","1","3724473","","","","","","","","","","","","","","","","",""
"","","","","","","","","","300527053","SmartOptions® Unusual Activity Alert\n(Delayed)\n\n$TSLA $550 Puts\n03/12/2021 Exp\n\nTrade Volume: 581 Contracts\n\n$1,278,200 was traded now.\n\nCurrent Stock Price: $581.65\n\nTrade Type: Block\n\nFollow the Money &amp; Trade Options with Our SmartOptions® Artificial Intelligence.\nhttps://www.smartoptions.ai","2021-03-07T20:32:52Z","4068309","SmartOptionsAlgo","SmartOptions®","https://avatars.stocktwits.com/production/4068309/thumb-1600106560.png","https://avatars.stocktwits.com/production/4068309/thumb-1600106560.png","2020-09-12","False","User","4942","0","19970","22","0","month","","False","6003","Signals","https://www.google.com","8660","TSLA","Tesla, Inc.","False","629879","Bearish","","","","","","","","","","","","","HOME | SmartOptions","https://www.smartoptions.ai","https://www.smartoptions.ai","smartoptions.ai","Introducing SmartOptions A.I Alerts. Highly Profitable Options Signals powered by Artificial Intelligence.","https://static.wixstatic.com/media/0ea5d9_dddfa572b93f46a3b534585136ed3da5%7Emv2.png/v1/fit/w_2500,h_1330,al_c/0ea5d9_dddfa572b93f46a3b534585136ed3da5%7Emv2.png","2021-03-07T20:32:52Z","null","SmartOptions","https://www.smartoptions.ai","","","","",""
"","","","","","","","","","300526961","$TSLA bull trap","2021-03-07T20:32:22Z","792856","jasaveii","jasaveii","https://avatars.stocktwits.com/production/792856/thumb-1613941609.png","https://avatars.stocktwits.com/production/792856/thumb-1613941609.png","2016-07-12","False","User","33","90","2803","139","508","","","False","2095","StockTwits For Android ","http://www.stocktwits.com/mobile","8660","TSLA","Tesla, Inc.","False","629879","Bearish","","","","","300526961","null","True","1","1","4491175","","","","","","","","","","","","","","","","",""
